"编号","分类","配置键/核对项","接入时必须确定或证明","我方 P0 要求 / Mock 默认","验收证据","责任角色","上线影响"
"PAY-V001","供应商与环境","PAYMENT_PROVIDER_ID","稳定且不可复用的供应商英文标识","Mock 使用 mock-native-hold 或 mock-local-fallback；生产写入版本化配置","L4 批准的集成配置记录","L4_ADMIN_OWNER","阻断生产"
"PAY-V002","供应商与环境","PAYMENT_PROVIDER_API_VERSION","生产 API 版本与弃用政策","版本固定，不自动漂移到 latest","供应商正式版本文档与响应头实测","L4_ADMIN_OWNER / 供应商技术","阻断生产"
"PAY-V003","供应商与环境","PAYMENT_PROVIDER_BASE_URL","沙箱与生产 Base URL、区域和隔离方式","沙箱与生产完全隔离；Mock 为 http://localhost:4100","正式文档与连通性测试","L4_ADMIN_OWNER / 开发","阻断联调"
"PAY-V004","供应商与环境","NETWORK_EGRESS_RULES","出口 IP、DNS、端口和地域限制","仅 API/Adapter 可访问；Bot 与浏览器禁止直连","网络变更记录与沙箱连通截图","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V005","身份能力","RESOLVE_USER_MODE","一次性绑定码或外部用户 ID 的验证方式","优先一次性码；凭证用后即弃且不持久化","供应商文档与 PAY-C01 结果","产品 / 开发 / 供应商技术","阻断账户绑定"
"PAY-V006","身份能力","EXTERNAL_USER_ID_STABILITY","外部用户 ID 是否稳定、跨环境是否唯一","provider + external_user_id 唯一；环境不得混用","书面说明与重复绑定测试","开发 / 供应商技术","阻断生产"
"PAY-V007","余额能力","PROVIDER_BALANCE_SEMANTICS","第三方字段是账面余额、可扣余额、冻结额还是信用额度","适配器统一输出 providerBalanceMinor；不得命名为 availableMinor","字段定义、余额变化样本与 PAY-C02","产品 / 开发 / 供应商技术","阻断预留"
"PAY-V008","余额能力","SUPPORTED_CURRENCIES","账户币种和跨币种规则","P0 只启用 CNY，不做汇率换算","币种清单与 CNY 测试账户","产品 / L4_ADMIN_OWNER","阻断生产"
"PAY-V009","余额能力","MONEY_UNIT","金额单位、精度和小数规则","我方使用 integer minor units；拒绝任何舍入","1 分、100 分与边界值测试","开发 / 供应商技术","阻断资金写入"
"PAY-V010","模式选择","CAPABILITY_DISCOVERY_RESPONSE","discoverCapabilities 是否准确报告 hold、debit、refund、Webhook 与 TTL","响应只报告能力；启用仍需阻断证据和 L4 批准","正式能力表、响应快照与 PAY-C03/PAY-C04","开发 / L4_ADMIN_OWNER / 供应商技术","阻断模式选择"
