"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-D-001","0.7","Discord","公共入口/创建订单","用户","已加入服务器","createOrder","现有","创建 DRAFT 订单并生成私密频道；已有活跃订单则返回原频道","AUTH_REQUIRED：提示绑定；CONFLICT：返回现有订单；服务错误附 request_id","用户","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-002","0.7","Discord","公共入口/我的服务中心","用户","已加入服务器","getMyServiceCenter","OpenAPI v0.7 已冻结","返回 ephemeral 个人摘要；我的收益只表示当前用户是受益人","AUTH_REQUIRED：打开绑定 Modal；第三方超时：展示临时不可用","用户","REQ-P0-PRIVACY-01","—","计划开发"
"INT-D-003","0.7","Discord","绑定 Modal/提交","用户","未绑定且绑定码格式有效","bindExternalAccount","OpenAPI v0.7 已冻结","保存 Discord 与第三方用户映射并刷新三项余额摘要","绑定码无效或已使用；服务超时附 request_id","用户","REQ-P0-ACCOUNT-01","—","计划开发"
"INT-D-004","0.7","Discord","订单面板/加载目录","用户","订单 DRAFT","listServiceCatalog","OpenAPI v0.7 已冻结","以消息 String Select 展示启用且双价格完整的服务；每个 Select 最多 25 项，用户端只返回客户价格","SERVICE_NOT_AVAILABLE：刷新目录并保留草稿；超出 25 项时消息分页","订单所有者","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-005","0.7","Discord","订单面板/保存结构化需求","用户","订单 DRAFT 且当前选项有效","updateOrderDraft","OpenAPI v0.7 已冻结","逐次更新游戏、服务、区服、时长、标签、价格预览和版本；提交一次后编辑原消息并加载下一组关联选项","VALIDATION_ERROR：在消息中标注字段；CONFLICT：刷新订单；不在打开的 Modal 内级联刷新","订单所有者","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-005A","0.7","Discord","补充备注 Modal/提交","用户","订单 DRAFT","updateOrderDraft","OpenAPI v0.7 已冻结","单字段 Modal 保存可选备注，提交后返回并更新原订单消息","VALIDATION_ERROR：重新打开备注 Modal；CONFLICT：刷新订单；不得包含自定义 Modal 按钮","订单所有者","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-006","0.7","Discord","订单面板/完整确认摘要","用户","订单 DRAFT 且目录版本有效","estimateOrder","OpenAPI v0.7 已冻结","以私密消息返回完整确认、取消规则、providerBalanceMinor、reservedMinor、availableMinor 和提交后可用金额","余额或价格暂不可用时禁用提交；保留草稿并附 request_id","订单所有者","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","计划开发"
"INT-D-007","0.7","Discord","订单面板/确认提交并预留","用户","DRAFT、availableMinor 足够、目录版本有效","submitOrder","现有","原子创建订单 FundReservation 并进入 PENDING_DISPATCH；不捕获消费","余额不足保持 DRAFT；未知预留结果禁用重复提交并显示 request_id","订单所有者","REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-008","0.7","Discord","订单提交/查询未知结果","用户","submitOrder 超时或网络中断","getOrder","OpenAPI v0.7 已冻结","按原 request_id 或 idempotencyKey 返回唯一提交和预留结果","仍未知时保持禁用并转客服；不得创建第二笔预留","订单所有者","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","计划开发"
"INT-D-009","0.7","Discord","订单面板/刷新订单","用户或陪玩","对订单有参与权限","getOrder","现有","返回状态、匹配、双方就绪、预留和下一步","403 不泄露对象；CONFLICT 刷新版本","订单参与者","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","计划开发"
"INT-D-010","0.7","Discord","订单面板/匹配透明信息","用户","订单 PENDING_DISPATCH 或 ACCEPTED","getOrder","现有","展示匹配阶段、已通知候选数、超时下一步和接单结果","服务错误保留上一有效时间并标注 fetchedAt","订单所有者","REQ-P0-MATCH-01","GATE-P0-03","计划开发"
"INT-D-011","0.7","Discord","订单面板/接单后进入频道","用户或陪玩","订单 ACCEPTED 且为参与者","getOrder","OpenAPI v0.7 已冻结","校验频道授权并返回 Discord 频道链接","频道未就绪时返回安全重试信息；越权不泄露频道","订单参与者","REQ-P0-MATCH-01;REQ-P0-PLAYER-02","GATE-P0-03;GATE-P0-04","计划开发"
"INT-D-012","0.7","Discord","订单面板/确认本人就绪","用户或当前陪玩","订单 ACCEPTED 且对方身份有效","setOrderReadiness","OpenAPI v0.7 已冻结","记录当前参与方 readiness；双方都就绪后 API 自动进入 IN_SERVICE 并开始计时","重复提交幂等；CONFLICT 刷新；超时创建客服任务","订单参与者","REQ-P0-READY-01","GATE-P0-05","计划开发"
"INT-D-013","0.7","Discord","订单面板/刷新双方就绪","用户或当前陪玩","订单 ACCEPTED 或 IN_SERVICE","getOrder","OpenAPI v0.7 已冻结","返回两方 readiness、确认时间、超时和服务计时","403 不泄露对象；服务错误附 request_id","订单参与者","REQ-P0-READY-01","GATE-P0-05","计划开发"
