"item_id","item_type","milestone","epic_id","title","user_value","scope","dependencies","owner_type","estimate_person_days","acceptance_criteria","definition_of_done","master_spec_sections","api_operation_ids","critical_path","parallel_track","scope_exclusions","requirement_ids","delivery_status","target_release","evidence_refs","test_refs"
"EP-M0","EPIC","M0","EP-M0","工程骨架与统一业务边界","团队获得可复现、可审计且客户端不直连数据库的开发基础。","TypeScript 模块化单体、Sapphire Bot、React Dashboard、统一 API、PostgreSQL、PaymentProvider、Outbox、配置和可观测性骨架。","none","tech_lead","16-26 (aggregate; do not sum with children)","一条命令启动全部组件；Bot Piece 加载；API 健康检查通过；业务访问均经 API。","全部 M0 Story 验收通过；架构边界、配置和启动方式经评审。","§1.2;§4;§9;§10.1;§11;§14;§16(M0);最新基线:P0产品边界","getHealth;getReadiness;handlePaymentWebhook;retryJob","yes","foundation","不引入微服务、Kubernetes、Redis、事件总线或自建钱包。","ARCH-01;ARCH-02;OPS-01","PLANNED","P0","ARCH:unified-api-boundary;RUN:local-smoke","AT-AUD-004;AT-CHN-001"
"M0-US-01","USER_STORY","M0","EP-M0","可复现的本地工程与运行骨架","开发人员无需手工拼装环境即可启动 API、Bot、Dashboard 和数据库。","建立 TypeScript workspace、API/Bot/Dashboard 进程、Docker Compose、环境变量校验、Sapphire Piece 发现和健康/就绪检查。","none","platform_fullstack","2-4","一条命令启动四个组件；缺少关键配置时明确失败；Piece 清单可验证；健康与就绪检查区分存活和依赖可用。","smoke/config 测试和启动文档通过；无密钥入库；代码经评审。","§4.1-4.5;§14.1-14.2;§16(M0)","getHealth;getReadiness","yes","platform","不提供 Kubernetes、自动扩缩容或多 Server 部署。","ARCH-01","PLANNED","P0","RUN:compose-smoke;BOT:piece-discovery","AT-CHN-001;AT-CHN-002"
"M0-US-02","USER_STORY","M0","EP-M0","P0 数据库基线与不可变记录约束","业务状态可事务化保存，关键财务与审计记录无法被误删或覆盖。","实现 P0 表、枚举、外键、唯一约束、活跃订单约束、minor units/currency、迁移和种子；预留、收益与返佣调整记录只追加。","M0-US-01","backend_data","4-6","空库可迁移并载入 L1-L4、阈值和测试目录；活跃订单、幂等键、推荐来源唯一约束生效；财务/审计无硬删除仓储方法。","空库及前一版本迁移通过；约束集成测试通过；ERD/Schema 与迁移一致。","§5;§8;§9;§14.2;§18;最新基线:资金预留/返佣","none","yes","api_data","不建本地余额账本，不提供财务、审计或订单事件硬删除。","ARCH-02;FUND-01;FUND-05;REF-07;NAME-04","PLANNED","P0","DB:p0-schema;DB:immutable-record-constraints","AT-AUD-003;AT-REC-001;AT-AUD-001"
"M0-US-03","USER_STORY","M0","EP-M0","统一鉴权、Actor Context、幂等与审计中间件","每次 Bot 或 Dashboard 操作可追溯到真实操作者，并由 API 做唯一授权判断。","实现 Bot 服务 Token、可信 Actor Header、request_id、Idempotency-Key、权限策略入口、拒绝审计和只追加 audit_logs。","M0-US-01;M0-US-02","backend_security","4-6","无有效服务身份的伪造 Actor Header 返回 401；客户端自报 level/role 无效；重复写返回首次结果；成功及高风险拒绝均可审计。","鉴权、幂等、越权和审计集成测试通过；日志脱敏；所有写端点接入中间件。","§5.4;§10.1;§10.6;§11.3;§12.1;§17.4-17.5","none","yes","api_data","不在 Bot Precondition 或 React 前端复制最终 RBAC。","ARCH-01;ACCESS-01;ACCESS-02","PLANNED","P0","API:actor-context;DB:audit-log","AT-AUTH-001;AT-RBAC-001;AT-AUD-001"
"M0-US-04","USER_STORY","M0","EP-M0","第三方资金适配契约与可控 Mock","外部 Provider 未稳定时仍可开发完整业务链，并可替换为真实实现。","实现 adapter-contract.yaml 的 11 个标准操作：discoverCapabilities、resolveUser、getProviderBalance、createHold、getHold、captureHold、releaseHold、createReservationDebit、createRefund、getTransaction、verifyWebhook；提供可编程 Mock、稳定幂等键和外部交易镜像。","M0-US-02;M0-US-03","integration_backend","3-5","Mock 覆盖原生 Hold 与本地预留两种模式，以及成功、余额不足、超时、UNKNOWN、退款失败、重复 Webhook；UNKNOWN 可通过 getHold/getTransaction 对账恢复；业务模块不引用供应商字段。","11 操作契约测试及全部结果分支通过；能力探测、UNKNOWN 恢复、验签与重放测试通过；凭证仅由 Secret 注入。","§1.2;§4.3;§10.7;§11.3;§12;§15.1;§16(M0)","handlePaymentWebhook","yes","payment_integration","不保留任何旧接口别名；不实现充值页或本地余额。","ARCH-02;FUND-06","PLANNED","P0","ADAPTER:PaymentProvider-v1;MOCK:provider-scenarios","AT-WHK-001;AT-REC-001;AT-REC-003"
"M0-US-05","USER_STORY","M0","EP-M0","Outbox/Job 运行器与结构化可观测性","Discord 展示或外部依赖失败可安全重试，不会重复执行业务交易。","实现数据库 Outbox 领取、锁、退避、失败状态、授权手工重试、结构化日志和核心指标钩子。","M0-US-02;M0-US-03","backend_platform","3-5","同一 Job 不被两个 Worker 同时执行；重试保留 attempts/last_error/run_after；播报失败不回滚业务事务；日志含 request_id 和关联 ID。","并发领取、退避、失败和恢复测试通过；失败 Job 可受权重试并留审计。","§4.2-4.3;§9;§11.1-11.3;§12.1;§17.5","retryJob","yes","platform","不引入 Redis/BullMQ，不承诺无限重试或复杂 SLA。","ARCH-01;GIFT-04","PLANNED","P0","DB:outbox-jobs;OBS:structured-events","AT-CHN-003;AT-AUD-003"
"EP-M1","EPIC","M1","EP-M1","目录、账户与即时订单入口","用户无需学习命令即可绑定账户、结构化确认需求并安全提交即时单。","目录、绑定、个人中心、订单草稿、私密频道、常驻面板、完整确认、资金预留与并发控制。","EP-M0","product_tech_lead","28-46 (aggregate; do not sum with children)","已绑定用户在一个确认面板看到完整需求、价格、可用余额、预留金额和取消规则；提交只预留一次。","全部 M1 Story 验收通过并完成 Discord 演示。","§2.1;§3.1-3.2;§6.1-6.2;§7.1-7.2;§16(M1);§17.1-17.2;最新基线:PL-01/PL-02","listServices;createBinding;getCurrentUser;getCurrentBalance;createOrder;getOrder;updateOrder;estimateOrder;submitOrder","yes","api_bot","不做预约、用户选陪玩、指定陪玩、加时、优惠券或复杂动态计价。","PL-01;PL-02;FUND-01;FUND-02;FUND-05;FUND-06","PLANNED","P0","FLOW:order-entry;DB:FundReservation","AT-PL-001;AT-RES-001"
"M1-US-01","USER_STORY","M1","EP-M1","版本化服务目录与双价格快照","运营可维护可售服务，用户只看到客户价，订单始终使用提交时价格。","实现启用服务查询、后台版本 API、计价单位、最低数量、客户单价、陪玩结算单价、币种和上下架约束。","M0-US-02;M0-US-03","backend_api","3-5","缺任一价格不能上架；用户列表不返回陪玩结算价；已提交订单在改价或下架后仍保留双价格快照。","单元、数据库集成和 API 契约测试通过；OpenAPI operationId 一致。","§2.1;§4.3;§6.2;§9;§10.2;§10.4;§15.1;§18","listServices;createServiceCatalogVersion;updateServiceCatalogVersion;estimateService","yes","api_data","不做阶梯价、活动价、优惠券或动态定价。","ARCH-01","PLANNED","P0","API:listServices;DB:service-catalog-version","AT-CAT-001;AT-CAT-002"
"M1-US-02","USER_STORY","M1","EP-M1","一次性绑定与实时账户摘要","用户只绑定一次即可私密查看第三方账户和实时余额。","实现绑定码验证、Discord/第三方账号唯一映射、个人摘要和余额查询；保存映射而非第三方密码。","M0-US-03;M0-US-04","backend_api","3-5","有效绑定码创建唯一映射；冲突账号拒绝；余额严格返回 providerBalanceMinor/reservedMinor/availableMinor/currency/fetchedAt；他人不可读取。","Provider 契约、归属和隐私测试通过；绑定码及敏感响应不入日志。","§2.1;§3.1;§6.1;§9;§10.2;§12;§17.1","createBinding;getCurrentUser;getCurrentBalance","yes","api_data","不保存第三方密码，不提供自助解绑或多账号切换。","ARCH-02;NAME-02","PLANNED","P0","API:getCurrentBalance;DB:user-provider-mapping","AT-ACC-001;AT-ACC-002;AT-RES-002"
"M1-US-03","USER_STORY","M1","EP-M1","即时订单草稿与服务端估价","用户可逐步填写订单，服务端保证输入完整、仅即时单且金额可复算。","实现创建/读取/更新草稿、单活跃订单限制、字段校验、目录版本引用、数量和金额计算、订单版本并发控制。","M1-US-01;M1-US-02","backend_api","4-6","已有活跃订单返回其 ID；未来时间字段被拒绝；不完整草稿不可提交；金额为 integer minor units；陈旧 expected_version 返回 409。","状态机、计价、约束和 API 测试通过；订单事件只追加。","§2.1;§6.2;§8.1;§9;§10.3;§12;§17.2","createOrder;getOrder;updateOrder;estimateOrder","yes","api_data","不支持预约、多人订单、多个活跃订单或客户端自报价格。","PL-01","PLANNED","P0","API:estimateOrder;DB:order-draft-version","AT-ORD-001;AT-ORD-002"
