"文案ID","版本","端","场景","组件","中文文案","显示条件","OpenAPI operationId","需求ID","门禁ID","备注","实现状态"
"COPY-D-001","0.7","Discord","公共入口","标题","陪玩服务中心","固定入口消息","—","REQ-P0-PRIVACY-01","—","公开可见","计划开发"
"COPY-D-002","0.7","Discord","公共入口","说明","创建一个私密订单，或查看你的余额、消费记录与“我的收益”。“我的收益”只表示你是受益人的记录。","固定入口消息","—","REQ-P0-PRIVACY-01","—","不展示出向推荐信息","计划开发"
"COPY-D-003","0.7","Discord","公共入口","提示","每位用户同时只能有一个进行中订单；已有订单时会直接带你返回原频道。","固定入口消息","—","REQ-P0-ORDER-01","GATE-P0-01","P0 活跃订单上限为 1","计划开发"
"COPY-D-004","0.7","Discord","公共入口","按钮","创建订单","始终显示","createOrder","REQ-P0-ORDER-01","GATE-P0-01","—","计划开发"
"COPY-D-005","0.7","Discord","公共入口","按钮","我的服务中心","始终显示","getMyServiceCenter","REQ-P0-PRIVACY-01","—","ephemeral","计划开发"
"COPY-D-010","0.7","Discord","账户绑定","标题","绑定业务账户","当前 Discord 尚未绑定","—","REQ-P0-ACCOUNT-01","—","Modal","计划开发"
"COPY-D-011","0.7","Discord","账户绑定","字段标签","一次性绑定码","绑定 Modal","—","REQ-P0-ACCOUNT-01","—","不收集支付密码","计划开发"
"COPY-D-012","0.7","Discord","账户绑定","安全提示","请确认正在绑定自己的账户。","提交前","—","REQ-P0-ACCOUNT-01","—","同时显示当前 Discord 与服务器","计划开发"
"COPY-D-013","0.7","Discord","账户绑定","原生操作","提交","输入格式有效","bindExternalAccount","REQ-P0-ACCOUNT-01","—","Discord 原生 Modal 提交；不可自定义按钮文案","计划开发"
"COPY-D-014","0.7","Discord","账户绑定","成功反馈","账户绑定成功，可用余额已刷新。","绑定成功","—","REQ-P0-FUNDS-01","GATE-P0-02","不得把第三方账户余额称为可用余额","计划开发"
"COPY-D-020","0.7","Discord","订单草稿","状态说明","请选择服务并填写即时单需求。确认提交前不会创建预留。","DRAFT","—","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","—","计划开发"
"COPY-D-021","0.7","Discord","订单提交","状态说明","正在原子校验价格和余额并创建订单预留，请勿重复点击。","SUBMITTING","—","REQ-P0-FUNDS-01","GATE-P0-02","禁用重复提交","计划开发"
"COPY-D-022","0.7","Discord","待派单","状态说明","订单已预留；正在匹配在线且可接单的陪玩，并显示匹配阶段与已通知候选数。","PENDING_DISPATCH","—","REQ-P0-FUNDS-01;REQ-P0-MATCH-01","GATE-P0-02;GATE-P0-03","—","计划开发"
"COPY-D-023","0.7","Discord","已接单","状态说明","陪玩已接单。请进入订单频道沟通，并与陪玩分别确认就绪；双方都就绪后系统才开始计时。","ACCEPTED","—","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","—","计划开发"
